Mission of Naval Communications	Provide and maintain reliable, secure, and rapid communications based on wartime requirements to support Naval Operating Forces.
Naval communications must satisfy what systems?	Defense Communications System (DCS) and National Communications System (NCS).
Telecommunications (definition)	All information systems using electric or electromagnetic signals to transmit information between or among points.
NTS stands for	Naval Telecommunications System.
Define Naval Telecommunications System (NTS)	All end terminal processing equipment, transmission, switching, cryptographic, and control devices used to transmit operational information in the Navy.
DCS stands for	Defense Communications System.
DISA stands for	Defense Information Systems Agency.
DISA role	Provides operational direction to DCS.
List the network enclaves	NIPRNET; SIPRNET; JWICS.
NIPRNET stands for	Unclassified but Sensitive Internet Protocol Router Network.
SIPRNET stands for	Secret Internet Protocol Router Network.
JWICS stands for	Joint Worldwide Intelligence Communications System.
DISN stands for	Defense Information Systems Network.
NCTAMS stands for	Navy Computer and Telecommunications Area Master Station.
NCTS stands for	Navy Computer and Telecommunications Station.
NIOC stands for	Naval Information Operations Command.
FLTNOC stands for	Fleet Network Operations Center.
AUTODIN stands for	Automatic Digital Network.
AMHS stands for	Automated Message Handling System.
DMS stands for	Defense Message System.
DMDS stands for	Defense Message Distribution System.
NAVMACS stands for	Naval Modular Automated Communications System.
